Order_ID,Order_Date,Customer_Name,Gender,Age,Product,Category,Quantity,Unit_Price,Total_Sales,Region,Payment_Method
ORD-0001,2025-02-01,Olivia Moore,Non-binary,41.0,USB-C Charger,Electronics,4.0,24.99,99.96,North,Credit Card
ORD-0002,2025-07-07,Charlotte Thomas,Male,58.0,Resistance Bands,Sports,4.0,18.99,75.96,West,PayPal
ORD-0003,2025-05-27,Benjamin Anderson,Non-binary,67.0,Running Shoes,Sports,1.0,94.99,94.99,East,PayPal
ORD-0004,2025-11-10,Alexander Smith,Non-binary,47.0,Yoga Mat,Sports,1.0,29.99,29.99,South,Cash
ORD-0005,2025-06-12,,Non-binary,36.0,USB-C Charger,Electronics,4.0,24.99,99.96,East,Cash
ORD-0006,2025-07-19,Mason Smith,Male,42.0,Denim Jacket,Clothing,2.0,69.99,139.98,East,Cash
ORD-0007,2025-11-27,Olivia Jones,Female,69.0,Perfume,Beauty,2.0,59.99,119.98,North,PayPal
ORD-0008,2025-05-01,Henry Davis,female,24.0,Denim Jacket,Clothing,3.0,69.99,209.97,East,Cash
ORD-0009,2025-02-05,Amelia Taylor,Male,62.0,Moisturizer,Beauty,1.0,27.99,27.99,West,Apple Pay
ORD-0010,2025-03-29,Alexander Jones,Non-binary,38.0,Resistance Bands,Sports,5.0,18.99,999.99,East,Credit Card
ORD-0011,2025-10-12,Benjamin Thomas,Female,18.0,Facial Cleanser,Beauty,5.0,16.99,84.95,South,Cash
ORD-0012,2025-01-14,Isabella Wilson,,42.0,Throw Pillow,Home,3.0,19.99,59.97,North,Credit Card
ORD-0013,2025-01-29,Alexander Wilson,Non-binary,42.0,Water Bottle,Sports,4.0,22.99,91.96,East,Cash
ORD-0014,2025-08-09,Benjamin Jones,Male,47.0,Water Bottle,Sports,1.0,22.99,22.99,South,PayPal
ORD-0015,2025-01-13,Daniel Moore,M,39.0,Facial Cleanser,Beauty,2.0,16.99,33.98,West,Credit Card
ORD-0016,2025-02-16,Olivia Anderson,Female,33.0,Moisturizer,Beauty,5.0,27.99,139.95,East,Cash
ORD-0017,2025-04-28,Olivia Moore,Male,39.0,Perfume,Beauty,3.0,59.99,179.97,South,Credit Card
ORD-0018,2025-09-19,Henry Miller,Male,56.0,Wireless Headphones,Electronics,4.0,79.99,319.96,West,PayPal
